team,role,sector,budget,trust,score
Acadia,Carilion Clinic System,Healthcare,$17.95M,11,88
Arches,WDBJ7 News,Media,$14.8M,7,53
Banff,Shentel Communications,Telecommunications,$7.3M,9,53
Bryce,VA DEQ SW Regional Office,Environmental,$40.1M,4,0
Denali,Governor's SW Virginia Liaison,State Executive,$7.5M,8,0
Glacier,Virginia Tech Crisis Response,Academic/Research,$48.65M,11,53
Jasper,AEP Appalachian Power,Energy/Utilities,$9.6M,8,0
Olympic,SW Virginia Sheriff's Coalition,Law Enforcement,$15.3M,3,0
Redwood,SW Virginia EMA,Emergency Mgmt,$25M,8,53
Sequoia,Montgomery County Government,Local Government,$2.85M,7,0
Shenandoah,United Way SW Virginia,Humanitarian NGO,$14.6M,6,0
Yellowstone,Food City / Regional Supply Chain,Business/Supply,$11.625M,7,0
Yoho,VDOT SW Region,Transportation,$7.75M,6,0
Yosemite,CISA Regional Coordinator,Federal Cyber,$6M,8,0
Zion,Appalachian Faith & Community Network,Community/Faith,$1.75M,12,0
